"Rec No","Daily Record Id","Sup Id","Date","No Of Days Covered","Serial No","Product1","Product2","Product3","Product4","Product5","Fuel Sales Qty1","Fuel Sales Qty2","Fuel Sales Qty3","Fuel Sales Qty4","Fuel Sales Qty5"
       24979,          142,            0," 7/10/2020",   1,     142,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,063.65",          0.00,        386.03,        162.73,          0.00
       24980,          143,            0," 7/11/2020",   1,     143,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,230.72",          0.00,        812.08,        240.03,          0.00
       24981,          144,            0," 7/11/2020",   1,     144,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,594.74",          0.00,        254.87,        144.80,          0.00
       24982,          145,            0," 7/12/2020",   1,     145,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,284.82",          0.00,        351.79,        209.99,          0.00
       24983,          146,            0," 7/12/2020",   1,     146,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        974.78,          0.00,        254.74,         42.72,          0.00
       24984,          147,            0," 7/13/2020",   1,     147,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,886.19",          0.00,        921.82,        146.95,          0.00
       24985,          148,            0," 7/13/2020",   1,     148,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,985.01",          0.00,        339.95,        207.90,          0.00
       24986,          149,            0," 7/14/2020",   1,     149,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      4,162.17",          0.00,        845.08,        284.98,          0.00
       24987,          150,            0," 7/14/2020",   1,     150,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,786.12",          0.00,        465.10,        165.80,          0.00
       24988,          151,            0," 7/15/2020",   1,     151,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,482.91",          0.00,"      1,339.06",        243.06,          0.00
       24989,          152,            0," 7/15/2020",   1,     152,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,728.08",          0.00,        256.14,         36.62,          0.00
       24990,          153,            0," 7/16/2020",   1,     153,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,845.23",          0.00,        829.98,        186.41,          0.00
       24991,          154,            0," 7/16/2020",   1,     154,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,849.86",          0.00,        672.12,         77.62,          0.00
       24992,          155,            0," 7/17/2020",   1,     155,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,667.80",          0.00,        922.51,        192.91,          0.00
       24993,          156,            0," 7/17/2020",   1,     156,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,884.52",          0.00,        576.77,         72.43,          0.00
       24994,          157,            0," 7/18/2020",   1,     157,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,347.76",          0.00,        869.32,        132.84,          0.00
       24995,          158,            0," 7/18/2020",   1,     158,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,323.31",          0.00,        223.85,         52.33,          0.00
       24996,          159,            0," 7/19/2020",   1,     159,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,949.42",          0.00,        356.06,         81.75,          0.00
       24997,          160,            0," 7/19/2020",   1,     160,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,162.72",          0.00,        218.11,         60.31,          0.00
       24998,          161,            0," 7/20/2020",   1,     161,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,245.48",          0.00,        848.12,         37.37,          0.00
       24999,          162,            0," 7/20/2020",   1,     162,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,481.38",          0.00,        295.21,        118.91,          0.00
       25000,          163,            0," 7/21/2020",   1,     163,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,750.98",          0.00,        984.64,         82.08,          0.00
       25001,          164,            0," 7/21/2020",   1,     164,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,450.55",          0.00,        602.95,         31.34,          0.00
       25002,          165,            0," 7/22/2020",   1,     165,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,509.15",          0.00,        988.86,        140.91,          0.00
       25003,          166,            0," 7/22/2020",   1,     166,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,737.54",          0.00,        364.61,        172.38,          0.00
       25004,          167,            0," 7/23/2020",   1,     167,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,994.98",          0.00,        803.74,        162.84,          0.00
       25005,          168,            0," 7/23/2020",   1,     168,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,810.02",          0.00,        573.96,         95.29,          0.00
       25006,          169,            0," 7/24/2020",   1,     169,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,276.20",          0.00,"      1,699.35",        132.27,          0.00
       25007,          170,            0," 7/24/2020",   1,     170,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,792.64",          0.00,        805.50,        168.14,          0.00
